Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,is_outlier
12346.0,77352.96,3,2011-01-18 10:01:00,325,True
12347.0,5633.32,8,2011-12-07 15:52:00,1,True
12356.0,5613.68,6,2011-11-17 08:40:00,22,True
12357.0,17437.66,2,2011-11-06 16:07:00,32,True
12359.0,8935.94,10,2011-10-13 12:47:00,57,True
12378.0,5416.32,2,2011-08-02 10:34:00,129,True
12380.0,7210.65,8,2011-11-18 11:27:00,21,True
12406.0,6390.36,5,2011-11-17 19:22:00,21,True
12409.0,23419.29,7,2011-09-22 10:38:00,78,True
12415.0,144033.37,24,2011-11-15 14:22:00,23,True
12417.0,6017.91,20,2011-12-06 14:52:00,2,True
12428.0,6405.26,8,2011-11-14 08:22:00,25,True
12429.0,6979.91,8,2011-11-30 17:22:00,8,True
12431.0,10527.97,25,2011-11-04 11:55:00,35,True
12433.0,20581.26,10,2011-12-09 10:02:00,0,True
12435.0,13925.93,6,2011-09-21 09:06:00,79,True
12437.0,11282.4,38,2011-12-08 11:35:00,1,True
12451.0,12629.88,8,2011-11-29 08:40:00,10,True
12454.0,16459.78,4,2011-10-14 17:13:00,55,True
12455.0,5722.95,9,2011-09-27 15:31:00,72,True
12471.0,35145.5,71,2011-12-07 15:43:00,1,True
12472.0,16494.59,19,2011-11-07 14:01:00,31,True
12474.0,11362.45,29,2011-11-22 14:39:00,16,True
12476.0,12351.41,18,2011-11-24 12:40:00,15,True
12477.0,20276.37,9,2011-11-17 09:51:00,22,True
12481.0,11191.39,14,2011-11-17 08:29:00,22,True
12482.0,21941.72,27,2010-05-12 16:51:00,575,True
12483.0,4092.58,19,2011-11-22 17:02:00,16,True
12484.0,5573.15,9,2011-11-04 15:18:00,34,True
12490.0,8764.64,20,2011-12-04 16:07:00,4,True
12497.0,5996.5,3,2011-09-19 12:29:00,81,True
12500.0,5559.21,18,2011-11-16 16:20:00,22,True
12523.0,4030.15,23,2011-11-20 12:55:00,18,True
12524.0,9794.11,17,2011-11-30 15:31:00,8,True
12539.0,11186.75,7,2011-11-17 13:30:00,21,True
12540.0,19250.49,32,2011-11-20 11:31:00,19,True
12557.0,18716.14,8,2011-11-23 16:59:00,15,True
12567.0,12467.86,15,2011-11-17 11:02:00,22,True
12569.0,3152.69,32,2011-12-07 16:24:00,1,True
