Customer ID,Recency,Frequency,MonetaryValue,Recency_Segment,Frequency_Segment,MonetaryValue_Segment,RFM_Score,Customer_Segment,CLV,MonetaryDensity,RF_Ratio,EngagementScore
12346.0,0.6033905201510437,-0.2551926988668414,5.092793357457416,1,2,3,6,Gold,5.092793357457416,-19.95665777301417,0.8101297063455718,0.29346857126332726
12347.0,-0.9506277725403376,0.1370196327249109,0.18174072011556336,3,3,3,9,Platinum,0.18174072011556336,1.3263845224314479,-0.836069796140742,0.4589977349647383
12348.0,-0.6004940214092548,-0.0983077662301405,-0.0904447140168845,2,2,3,7,Gold,-0.0904447140168845,0.9200159609481063,-0.665963395180489,0.40892213915495845
12349.0,-0.8690897757015923,-0.2551926988668414,0.04789606031906268,3,2,3,8,Platinum,0.04789606031906268,-0.1876858567339133,-1.1668652742519425,0.44286067866088885
12350.0,0.5266488760675186,-0.4120776315035424,-0.18384557042573269,1,1,1,3,Bronze,-0.18384557042573269,0.4461430477430617,0.8957796203848499,0.25915181931980885
12351.0,0.8384118051568389,-0.4120776315035424,-0.18339842409703053,1,1,1,3,Bronze,-0.18339842409703053,0.4450579455814358,1.4260586942813192,0.21894273889443414
12352.0,-0.787551778862847,0.21546209904326138,-0.08557335263497433,3,3,3,9,Platinum,-0.08557335263497433,-0.39716197426347616,-0.6479443328448994,0.43672445373999075
12353.0,0.018235484014165505,-0.3336351651851919,-0.17615164064120326,2,1,1,4,Silver,-0.17615164064120323,0.5279768412404197,0.02736561574296368,0.3257001221383461
12354.0,0.15253336116033425,-0.4120776315035424,-0.1300921449998193,2,1,2,5,Silver,-0.1300921449998193,0.31569814776199756,0.2594447317090867,0.3078389326708873
12355.0,0.06619901156636863,-0.3336351651851919,-0.1391165576582666,2,1,2,5,Silver,-0.1391165576582666,0.41697210658548767,0.09934349489610483,0.31981113165637803
12356.0,-0.8499043646807111,-0.01986529991179002,0.18039585734439786,3,3,3,9,Platinum,0.18039585734439786,-9.080953126578937,-0.8671301654805421,0.444177357560962
12357.0,-0.8019408371285079,-0.3336351651851919,0.9900511785768707,3,1,3,7,Gold,0.9900511785768709,-2.9674665079963023,-1.2034561177757501,0.44086075391708895
